code,amt
"020105.SH",20000000
"020122.SH",20000000
"020124.SH",20000000
"020125.SH",20000000
"020126.SH",20000000
"020132.SH",20000000
"113008.SH",5000000
"120610.SH",40000000
"122032.SH",53595000
"122080.SH",195320000
"122103.SH",2000000
"122108.SH",34948000
"122119.SH",70000000
"122141.SH",40000000
"122155.SH",90000000
"122201.SH",30000000
"122242.SH",40015000
"122280.SH",78942000
"122348.SH",30000000
"122353.SH",30000000
"122357.SH",20000000
"122363.SH",99000000
"122553.SH",40000000
"122588.SH",29600000
"122628.SH",25000000
"122630.SH",54000000
"122631.SH",150078000
"122638.SH",30000000
"122642.SH",18000600
"122649.SH",5910000
"122658.SH",12000000
"122859.SH",30000000
"122866.SH",613000
"122882.SH",30000000
"122897.SH",30000000
"122905.SH",30000000
"122906.SH",100000000
"122930.SH",20100000
"122956.SH",241868000
"124021.SH",123200000
"124053.SH",50000000
"124098.SH",96038400
"124121.SH",50000000
"124213.SH",1600000
"124244.SH",75000000
"124248.SH",100000000
"124277.SH",20000000
"124287.SH",80000000
"124297.SH",80000000
"124319.SH",30000000
"124330.SH",40000000
"124512.SH",60000000
"132001.SH",3000000
"136013.SH",70000000
"136140.SH",39338000
"136188.SH",20000000
"136321.SH",40000000
"111057.SZ",107640900
"112112.SZ",10001000
"112123.SZ",72065000
"112124.SZ",37000000
"112126.SZ",50000000
"112153.SZ",33552600
"112171.SZ",10000000
"112311.SZ",57128000
"112419.SZ",40000000
"123001.SZ",13596700
"128013.SZ",175000
